Identificador do processo de viagem,Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço
13434725,Aéreo,Brasil,Rio Grande do Sul,Porto Alegre,Brasil,Paraná,Foz do Iguaçu,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,282,2
13435205,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Roraima,Boa Vista,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,749,0
13435473,Aéreo,Brasil,Tocantins,Palmas,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,284,0
13435473,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Tocantins,Palmas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,289,0
13435534,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Amazonas,Manaus,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1249,0
13436680,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Miami,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2881,0
13436752,Aéreo,Estados Unidos da América,,Miami,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2881,0
13436806,Aéreo,Brasil,Maranhão,São Luís,Brasil,Rio Grande do Norte,Natal,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,458,0
13436806,Aéreo,Brasil,Rio Grande do Norte,Natal,Brasil,Maranhão,São Luís,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,822,0
13436806,Aéreo,Brasil,Rio Grande do Norte,Natal,Brasil,Maranhão,São Luís,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,523,0
13436817,Aéreo,Estados Unidos da América,,Miami,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2881,0
13437548,Aéreo,Brasil,Paraíba,Campina Grande,Brasil,Sergipe,Aracaju,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,384,0
13438465,Aéreo,Brasil,São Paulo,Guarulhos,Brasil,Amazonas,Manaus,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,645,0
13439080,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio Grande do Sul,Porto Alegre,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,431,0
13439302,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Bahia,Salvador,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,259,0
13439457,Aéreo,Brasil,Bahia,Salvador,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,333,0
13439499,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Pernambuco,Recife,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,667,0
13439525,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Bahia,Salvador,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,259,0
13439632,Aéreo,Brasil,Bahia,Salvador,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,294,0
13439717,Aéreo,Brasil,Bahia,Salvador,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,294,0
13440104,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,295,0
13440152,Aéreo,Brasil,Pernambuco,Petrolina,Brasil,Mato Grosso do Sul,Campo Grande,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,745,0
13441439,Aéreo,Brasil,Mato Grosso do Sul,Campo Grande,Brasil,Pernambuco,Petrolina,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,745,0
13441533,Aéreo,Brasil,São Paulo,Campinas,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,144,0
13441730,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Washington,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,13051,0
13441820,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Washington,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,13051,0
13441918,Aéreo,Brasil,Pernambuco,Petrolina,Brasil,Mato Grosso do Sul,Campo Grande,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,745,0
13442082,Aéreo,Brasil,São Paulo,São Paulo,Itália,,Milão,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,8151,0
13442105,Aéreo,Brasil,Pernambuco,Petrolina,Brasil,Mato Grosso do Sul,Campo Grande,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,745,0
13442123,Aéreo,Brasil,São Paulo,São Paulo,Itália,,Milão,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,8151,0
13442397,Aéreo,Brasil,Distrito Federal,Brasília,Rússia,,Moscou,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,5864,0
13442427,Aéreo,Brasil,Distrito Federal,Brasília,Rússia,,Moscou,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,4456,0
13442430,Aéreo,Brasil,Distrito Federal,Brasília,Rússia,,Moscou,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,4456,0
